date,deficit_MW
2050-09-17,3434.869166666667
2050-09-18,984.03125
2050-09-19,1325.36375
2050-09-20,2075.594583333333
2050-09-21,2152.9133333333334
2050-09-22,355.23583333333335
2050-09-23,-260.42541666666665
2050-09-24,1930.9729166666666
2050-09-25,2421.30625
2050-09-26,470.9375
2050-09-27,1402.1816666666666
2050-09-28,685.5954166666667
2050-09-29,926.4216666666666
2050-09-30,-323.65500000000003
2050-10-01,93.94583333333334
2050-10-02,-764.0212500000001
2050-10-03,631.0024999999999
2050-10-04,-176.05791666666667
2050-10-05,1353.8570833333333
2050-10-06,2997.240416666667
2050-10-07,1485.96125
2050-10-08,783.7425
2050-10-09,-1318.3316666666667
2050-10-10,-140.88541666666666
2050-10-11,1103.9175
2050-10-12,960.6974999999999
2050-10-13,1738.4037500000002
2050-10-14,2615.414583333333
2050-10-15,1460.0933333333332
2050-10-16,-397.09791666666666
2050-10-17,-592.1225000000001
2050-10-18,409.8141666666667
2050-10-19,2065.6979166666665
2050-10-20,720.1083333333332
2050-10-21,1448.4395833333335
2050-10-22,1315.2308333333333
2050-10-23,722.5270833333334
2050-10-24,529.1958333333333
2050-10-25,1128.87125
2050-10-26,1802.5970833333333
2050-10-27,-619.5170833333333
2050-10-28,-107.47916666666667
2050-10-29,-968.3216666666667
2050-10-30,-88.47833333333334
2050-10-31,1137.4175
2050-11-01,879.59
2050-11-02,1476.4566666666667
2050-11-03,1119.5770833333333
2050-11-04,2681.5154166666666
2050-11-05,1550.0929166666665
2050-11-06,1055.6945833333332
2050-11-07,920.06
2050-11-08,1963.2475000000002
2050-11-09,3530.3575
2050-11-10,-119.61999999999996
2050-11-11,170.16375
2050-11-12,880.6345833333334
2050-11-13,-356.96458333333334
2050-11-14,152.80749999999998
2050-11-15,340.27208333333334
2050-11-16,-1658.2170833333332
2050-11-17,-1498.0633333333333
2050-11-18,-52.451249999999995
2050-11-19,375.02875
2050-11-20,-1291.9591666666668
2050-11-21,-191.22583333333333
2050-11-22,-1467.4399999999998
2050-11-23,18.314583333333303
2050-11-24,2341.2320833333333
2050-11-25,2928.427916666667
2050-11-26,33.55416666666666
2050-11-27,-413.17291666666665
2050-11-28,-449.10791666666665
2050-11-29,356.1033333333333
2050-11-30,361.34375
2050-12-01,-1258.4575
2050-12-02,112.75291666666665
2050-12-03,-1123.4420833333334
2050-12-04,2544.9045833333334
2050-12-05,1867.4533333333331
2050-12-06,606.0608333333333
2050-12-07,2196.09875
2050-12-08,3658.3683333333333
2050-12-09,2199.1570833333335
2050-12-10,1255.0104166666667
2050-12-11,936.3849999999999
2050-12-12,-315.8270833333334
2050-12-13,400.2404166666666
2050-12-14,986.2045833333333
2050-12-15,145.59875
2050-12-16,-112.88291666666667
2050-12-17,-192.26416666666668
2050-12-18,-823.50625
2050-12-19,94.45166666666667
2050-12-20,2880.9533333333334
2050-12-21,2927.935
2050-12-22,877.1925
2050-12-23,1307.27875
2050-12-24,441.32541666666674
2050-12-25,1534.9595833333333
2050-12-26,1795.14875
2050-12-27,2840.42125
2050-12-28,1463.5141666666668
2050-12-29,2101.5816666666665
2050-12-30,1638.7670833333334
2050-12-31,1026.395
