date,deficit_MW
2050-08-22,-133.335
2050-08-23,1332.6275
2050-08-24,2154.5333333333333
2050-08-25,1794.3891666666668
2050-08-26,2710.630833333333
2050-08-27,3106.2020833333336
2050-08-28,2247.0141666666664
2050-08-29,2493.4587500000002
2050-08-30,2212.6675
2050-08-31,2145.3391666666666
2050-09-01,2107.79875
2050-09-02,1934.1537500000002
2050-09-03,2091.3316666666665
2050-09-04,2027.3383333333334
2050-09-05,1164.07125
2050-09-06,1638.8291666666667
2050-09-07,1782.9416666666666
2050-09-08,953.8125
2050-09-09,1251.2579166666667
2050-09-10,1171.1116666666667
2050-09-11,2362.5070833333334
2050-09-12,1303.4329166666666
2050-09-13,1317.8429166666667
2050-09-14,478.90500000000003
2050-09-15,849.3341666666666
2050-09-16,2030.2908333333332
2050-09-17,2267.7858333333334
2050-09-18,-51.26374999999998
2050-09-19,482.74208333333337
2050-09-20,1058.955
2050-09-21,894.6091666666666
2050-09-22,460.7479166666667
2050-09-23,-1290.4183333333333
2050-09-24,919.7695833333333
2050-09-25,2038.5491666666667
2050-09-26,-603.7199999999999
2050-09-27,264.4220833333333
2050-09-28,-361.25291666666664
2050-09-29,34.87416666666667
2050-09-30,-417.20625
2050-10-01,158.23458333333335
2050-10-02,-521.2170833333333
2050-10-03,250.04875
2050-10-04,-420.25500000000005
2050-10-05,373.14416666666665
2050-10-06,1586.4695833333333
2050-10-07,269.5729166666667
2050-10-08,674.9054166666666
2050-10-09,-460.81333333333333
2050-10-10,-1087.3604166666667
2050-10-11,-66.07500000000006
2050-10-12,384.48749999999995
2050-10-13,1182.50375
2050-10-14,1238.4083333333333
2050-10-15,256.07625
2050-10-16,-1186.3758333333333
2050-10-17,-1330.7158333333334
2050-10-18,-620.4470833333334
2050-10-19,1363.66
2050-10-20,424.3666666666666
2050-10-21,1270.8554166666665
2050-10-22,1512.2341666666669
2050-10-23,-359.6075
2050-10-24,-65.00125000000003
2050-10-25,262.78666666666663
2050-10-26,757.86125
2050-10-27,10.452083333333334
2050-10-28,-494.25624999999997
2050-10-29,-975.935
2050-10-30,-563.99
2050-10-31,48.06625000000002
2050-11-01,-118.27458333333334
2050-11-02,556.9629166666667
2050-11-03,77.4529166666667
2050-11-04,2744.674166666666
2050-11-05,1598.2741666666668
2050-11-06,520.5629166666666
2050-11-07,55.43916666666664
2050-11-08,2123.4304166666666
2050-11-09,2346.0375
2050-11-10,-28.775833333333352
2050-11-11,-689.4987500000001
2050-11-12,-120.2545833333334
2050-11-13,-1097.91875
2050-11-14,-419.02125000000007
2050-11-15,616.7208333333334
2050-11-16,-933.9037500000001
2050-11-17,-1636.68375
2050-11-18,-531.0308333333334
2050-11-19,41.82041666666667
2050-11-20,-743.5304166666666
2050-11-21,-732.2854166666666
2050-11-22,-974.8508333333333
2050-11-23,-281.2129166666667
2050-11-24,1528.2483333333332
2050-11-25,2872.638333333334
2050-11-26,595.555
2050-11-27,-342.18375
2050-11-28,-803.2391666666667
2050-11-29,-369.53375
2050-11-30,614.5445833333333
2050-12-01,-1464.1379166666666
2050-12-02,-157.0041666666667
2050-12-03,-921.3554166666667
2050-12-04,1715.3795833333334
2050-12-05,1570.7758333333334
2050-12-06,959.85
2050-12-07,2556.7454166666666
2050-12-08,3547.0304166666665
2050-12-09,1963.4020833333334
2050-12-10,1212.625
2050-12-11,958.0016666666667
2050-12-12,124.09541666666667
2050-12-13,25.738333333333355
2050-12-14,543.9187499999999
2050-12-15,781.7108333333332
2050-12-16,233.3975
2050-12-17,644.4854166666667
2050-12-18,283.23625
2050-12-19,-76.21458333333334
2050-12-20,2027.4908333333333
2050-12-21,2778.8270833333336
2050-12-22,947.4104166666667
2050-12-23,856.15875
2050-12-24,927.8145833333333
2050-12-25,805.9587500000001
2050-12-26,1730.1466666666665
2050-12-27,2562.352083333333
2050-12-28,1626.4470833333332
2050-12-29,2394.5120833333335
2050-12-30,1402.1370833333333
2050-12-31,983.1929166666667
